,Requirement,Level 1,Level 2,Level 3,Test Complete?,Result
1. Organization,Verify Dedicated InfoSec/Risk group exists,N,Y,Y,,
,Verify pen/red/purple testing,N,Y,Y,,
,Verify data classification standard exists,N,Y,Y,,
,Verify critical service classification standard exists,N,Y,Y,,
,Verify asset mapping to critical services standard exists,N,Y,Y,,
,Verify user/group to critical services standard exists,N,Y,Y,,
,Verify RBAC standard exists,N,Y,Y,,
,Verify executive buy-in to ensure all relevant business units are to participate,N,Y,Y,,
,Verify ticketing system is configured to track incidents independent from normal tickets,N,Y,Y,,
2. Controls,Verify all firewalls are logging,Y,Y,Y,,
,Verify all IPS are logging,Y,Y,Y,,
,Verify all AV is logging,Y,Y,Y,,
,Verify all servers are logging,Y,Y,Y,,
,Verify all firewall logs are logging to centralized logging application,Y,Y,Y,,
,Verify all firewall logs are logging to SIEM,N,Y,Y,,
,Verify all AV logs are logging to centralized logging application,Y,Y,Y,,
,Verify all AV logs are logging to SIEM,N,Y,Y,,
,Verify all server logs are logging to centralized logging application,Y,Y,Y,,
,Verify all server logs are logging to SIEM,N,Y,Y,,
,Verify advanced endpoint controls,N,Y,Y,,
,Verify removable media controls,N,N,Y,,
,Verify cloud services controls,N,N,Y,,
,Verify identity access controls,N,N,Y,,
,Verify Web content security controls/proxies,N,Y,Y,,
,Verify 2FA password vault for privileged accounts,N,N,Y,,
,Verify honeypot controls,N,Y,Y,,
,Verify honeyhash controls,N,N,Y,,
,Verify RDP proxy for privileged accounts,N,N,Y,,
,Verify encryption of business critical data at rest,N,Y,Y,,
3. Monitoring,Verify alert on process creation (4688),N,N,Y,,
,Verify alert on powershell.exe execution,N,Y,Y,,
,Verify dedicated SOC,N,Y,Y,,
,Verify 24x7 SOC coverage,N,N,Y,,
,Verify weekly analysis of threat events,N,Y,Y,,
,Verify L2+ Vulnerability Management process is feeding SIEM,N,Y,Y,,
4. Incident Response,Verify documented IR framework,N,Y,Y,,
,Verify periodic IR tabletop exercises,N,N,Y,,
,Verify process exists to handle malware infections,Y,Y,Y,,
,Verify internal and/or 3rd party threat intelligence exists,N,Y,Y,,
,"Verify mature IR framework (RACI, all business unit participation) exists",N,N,Y,,
,Verify threat modeling standard exists,N,Y,Y,,
,Verify periodic threat modeling exercises,N,Y,Y,,
,Verify threat prioritization standard exists,N,N,Y,,
,Verify OOB communications process exists,N,N,Y,,
,Verify communications rhythm exists with proper audience,N,Y,Y,,
,Verify incident tickets are being created in enterprise ticketing system,N,Y,Y,,
,Verify specific incident playbooks exist and are continuously updated,N,Y,Y,,
,Verify Emergency Incident Spend and Lever Execution Standard exists,N,N,Y,,
5. Threat Simulation,Verify a basic 40 hour penetration test is performed annually,Y,Y,Y,,
,Verify a complex red team test based on threat models and business critical data is performed annually,N,Y,Y,,
,Verify a collaborative purple team engagement is performed annually,N,Y,Y,,
6. Documentation/Metrics,Verify incident characteristics are being documented,N,Y,Y,,
,Verify target system characteristics are being documented,N,Y,Y,,
,Verify incident timeline is being documented,N,Y,Y,,
,Verify number of systems targeted is being documented,N,Y,Y,,
,Verify attack vector is being documented,N,Y,Y,,
,Verify attack sophistication is being documented,N,Y,Y,,
,Verify attack profile/characteristics are being documented,N,Y,Y,,
,Verify obfuscation techniques are being documented,N,Y,Y,,
,Verify data targeted is being documented,N,Y,Y,,
,Verify data compromised is being documented,N,Y,Y,,
,Verify data exfiltrated is being documented,N,Y,Y,,
,Verify periodic incidents by status metrics are being calculated,N,N,Y,,
,Verify mean time to compromise metrics are being calculated,N,N,Y,,
,Verify cost to disrupt (C2D) metrics are being calculated,N,N,Y,,
,Verify adversary means and capabilities metrics are being calculated,N,N,Y,,
,Verify delta between C2D and derived adversary means metrics are being calculated,N,N,Y,,
,Verify mean time to incident detection is being calculated,N,Y,Y,,
,Verify mean time to incident resolution is being calculated,N,Y,Y,,
